ID,Variable 1,Dependency,Variable 2
740,lon350lat-70,->,lon350lat-60
741,lon350lat-70,-,lon350lat-80
742,lon350lat-80,-,lon340lat90
743,lon350lat-80,-,lon350lat-70
744,lon350lat10,->,lon350lat0
745,lon350lat10,-,lon350lat20
746,lon350lat20,-,lon350lat10
747,lon350lat20,-,lon350lat30
748,lon350lat30,-,lon350lat20
749,lon350lat30,-,lon350lat40
750,lon350lat40,-,lon350lat30
751,lon350lat40,-,lon350lat50
752,lon350lat50,-,lon350lat40
753,lon350lat50,-,lon350lat60
754,lon350lat60,-,lon350lat50
755,lon350lat70,-,lon350lat80
756,lon350lat80,-,lon350lat70
757,lon350lat80,-,lon350lat90
758,lon350lat90,-,lon340lat-80
759,lon350lat90,-,lon350lat80
760,lon40lat-10,-,lon40lat-20
761,lon40lat-10,-,lon40lat0
762,lon40lat-20,-,lon40lat-10
763,lon40lat-20,->,lon40lat-30
764,lon40lat-40,->,lon40lat-30
765,lon40lat-40,-,lon40lat-50
766,lon40lat-50,-,lon40lat-40
767,lon40lat-50,-,lon40lat-60
768,lon40lat-60,-,lon40lat-50
769,lon40lat-60,-,lon40lat-70
770,lon40lat-70,-,lon40lat-60
771,lon40lat-70,-,lon40lat-80
772,lon40lat-80,-,lon40lat-70
773,lon40lat-80,->,lon50lat90
774,lon40lat0,-,lon40lat-10
775,lon40lat0,-,lon40lat10
776,lon40lat10,-,lon40lat0
777,lon40lat10,-,lon40lat20
778,lon40lat20,-,lon40lat10
779,lon40lat20,-,lon40lat30
780,lon40lat30,-,lon40lat20
781,lon40lat30,-,lon40lat40
782,lon40lat40,-,lon40lat30
783,lon40lat40,-,lon40lat50
784,lon40lat50,-,lon40lat40
785,lon40lat60,-,lon40lat70
786,lon40lat70,-,lon40lat60
787,lon40lat80,-,lon40lat90
788,lon40lat90,-,lon40lat80
789,lon40lat90,->,lon50lat-80
790,lon50lat-10,-,lon50lat-20
791,lon50lat-10,-,lon50lat0
792,lon50lat-20,-,lon50lat-10
793,lon50lat-40,-,lon50lat-50
794,lon50lat-50,-,lon50lat-40
795,lon50lat-50,->,lon50lat-60
796,lon50lat-70,->,lon50lat-60
797,lon50lat-70,->,lon50lat-80
798,lon50lat0,-,lon50lat-10
799,lon50lat0,-,lon50lat10
800,lon50lat10,-,lon50lat0
801,lon50lat10,-,lon50lat20
802,lon50lat20,-,lon50lat10
803,lon50lat20,-,lon50lat30
804,lon50lat30,-,lon50lat20
805,lon50lat30,-,lon50lat40
806,lon50lat40,-,lon50lat30
807,lon50lat50,-,lon50lat60
808,lon50lat60,-,lon50lat50
809,lon50lat60,-,lon50lat70
810,lon50lat70,-,lon50lat60
811,lon50lat70,-,lon50lat80
812,lon50lat80,-,lon50lat70
813,lon50lat80,->,lon50lat90
814,lon60lat-10,-,lon60lat-20
815,lon60lat-10,-,lon60lat0
816,lon60lat-20,-,lon60lat-10
817,lon60lat-20,-,lon60lat-30
818,lon60lat-30,-,lon60lat-20
819,lon60lat-30,-,lon60lat-40
820,lon60lat-40,-,lon60lat-30
821,lon60lat-40,-,lon60lat-50
822,lon60lat-50,->,lon40lat-30
823,lon60lat-50,-,lon60lat-40
824,lon60lat-70,-,lon60lat-80
825,lon60lat-80,-,lon60lat-70
826,lon60lat0,-,lon60lat-10
827,lon60lat0,-,lon60lat10
828,lon60lat10,-,lon60lat0
829,lon60lat10,-,lon60lat20
830,lon60lat20,-,lon60lat10
831,lon60lat20,-,lon60lat30
832,lon60lat30,-,lon60lat20
833,lon60lat30,-,lon60lat40
834,lon60lat40,-,lon60lat30
835,lon60lat40,-,lon60lat50
836,lon60lat50,-,lon60lat40
837,lon60lat50,-,lon60lat60
838,lon60lat50,->,lon80lat40
839,lon60lat60,-,lon60lat50
840,lon60lat60,->,lon60lat80
841,lon60lat70,->,lon60lat80
842,lon60lat90,->,lon70lat-80
843,lon60lat90,-,lon90lat-80
844,lon70lat-10,-,lon70lat-20
845,lon70lat-10,-,lon70lat0
846,lon70lat-20,-,lon70lat-10
847,lon70lat-40,-,lon70lat-50
848,lon70lat-50,-,lon70lat-40
849,lon70lat-50,-,lon70lat-60
850,lon70lat-60,-,lon70lat-50
851,lon70lat-60,-,lon70lat-70
852,lon70lat-70,-,lon70lat-60
853,lon70lat-70,->,lon70lat-80
854,lon70lat0,-,lon70lat-10
855,lon70lat10,-,lon70lat20
856,lon70lat20,-,lon70lat10
857,lon70lat20,-,lon70lat30
858,lon70lat30,-,lon70lat20
859,lon70lat30,-,lon70lat40
860,lon70lat40,-,lon70lat30
861,lon70lat40,-,lon70lat50
862,lon70lat50,-,lon70lat40
863,lon70lat50,-,lon70lat60
864,lon70lat60,-,lon70lat50
865,lon70lat60,-,lon70lat70
866,lon70lat70,-,lon70lat60
867,lon70lat80,->,lon70lat90
868,lon80lat-10,-,lon80lat-20
869,lon80lat-10,-,lon80lat0
870,lon80lat-20,-,lon80lat-10
871,lon80lat-30,-,lon80lat-40
872,lon80lat-40,-,lon80lat-30
873,lon80lat-60,-,lon80lat-70
874,lon80lat-70,-,lon80lat-60
875,lon80lat-70,-,lon80lat-80
876,lon80lat-80,-,lon80lat-70
877,lon80lat-80,-,lon90lat90
878,lon80lat0,-,lon80lat-10
879,lon80lat10,-,lon80lat20
880,lon80lat20,->,lon100lat30
881,lon80lat20,-,lon80lat10
882,lon80lat20,-,lon80lat30
883,lon80lat30,-,lon80lat20
884,lon80lat30,->,lon80lat40
885,lon80lat50,->,lon80lat40
886,lon80lat50,-,lon80lat60
887,lon80lat60,-,lon80lat50
888,lon80lat60,-,lon80lat70
889,lon80lat70,-,lon80lat60
890,lon80lat70,->,lon80lat80
891,lon80lat80,->,lon60lat80
892,lon80lat90,-,lon100lat90
893,lon80lat90,->,lon80lat80
894,lon90lat-10,-,lon90lat-20
895,lon90lat-10,-,lon90lat0
896,lon90lat-20,-,lon90lat-10
897,lon90lat-40,-,lon90lat-50
898,lon90lat-50,-,lon90lat-40
899,lon90lat-50,-,lon90lat-60
900,lon90lat-60,-,lon90lat-50
901,lon90lat-60,->,lon90lat-70
902,lon90lat-80,-,lon60lat90
903,lon90lat-80,->,lon90lat-70
904,lon90lat0,-,lon90lat-10
905,lon90lat0,-,lon90lat10
906,lon90lat10,-,lon90lat0
907,lon90lat10,-,lon90lat20
908,lon90lat20,-,lon90lat10
909,lon90lat20,-,lon90lat30
910,lon90lat30,-,lon90lat20
911,lon90lat40,-,lon90lat50
912,lon90lat50,-,lon90lat40
913,lon90lat50,-,lon90lat60
914,lon90lat60,-,lon90lat50
915,lon90lat60,-,lon90lat70
916,lon90lat70,-,lon90lat60
917,lon90lat70,-,lon90lat80
918,lon90lat80,-,lon90lat70
919,lon90lat80,-,lon90lat90
920,lon90lat90,->,lon70lat90
921,lon90lat90,-,lon80lat-80
922,lon90lat90,-,lon90lat80
